Alonso,Yonder,303.0
Alou,Felipe Rojas,267.0
Alou,Jesus Maria Rojas,264.0
Alou,Mateo Rojas,229.0
Alou,Moises Rojas,260.0
Alpermann,Charles Augustus,250.0
Alston,Wendell,252.0
Alston,Garvin James,259.0
Alston,Thomas Edison,287.0
Alston,Walter Emmons,269.0
Altamirano,Porfirio,247.0
Altavilla,Daniel,271.0
Alten,Ernest Matthias,247.0
Altenburg,Jesse Howard,227.0
Altherr,Aaron Samuel,292.0
Altizer,David Tilden,230.0
Altman,George Lee,276.0
Altobelli,Joseph Salvatore,257.0
Altrock,Nicholas,267.0
Altuve,Jose Carlos,231.0
Alusik,George Joseph,250.0
Alvarez,Abraham,264.0
Alvarez,Clemente Rafael,251.0
Alvarez,Dario Rafael,243.0
Alvarez,Dariel,254.0
Alvarez,Gabriel de Jesus,258.0
Alvarez,Henderson Javier,277.0
Alvarez,Jose Lino,240.0
Alvarez,Jose Ricardo,261.0
Alvarez,Juan M.,253.0
Alvarado,Luis Cesar,231.0
Alvarez,Jesus Manuel Orlando,237.0
Alvarez,Oswaldo,235.0
Alvarez,Pedro Manuel,325.0
Alvarez,Roy Emilio,299.0
Alvarez,Rogelio,254.0
Alvarez,Cesar Octavio,320.0
Alvarez,Antonio Enrique,273.0
Alvarez,Victor Aurelio,220.0
Alvarez,Wilson Eduardo,248.0
Alvis,Roy Maxwell,256.0
Alvord,William Crawford,257.0
Alyea,Garrabrant Ryerson,290.0
Amalfitano,John Joseph,246.0
Amaral,Richard Louis,247.0
Amarista,Alexi Jose,226.0
Amaro,Ruben,241.0
Amaro,Ruben,240.0
Ambler,Wayne Harper,233.0
Ambres,Raymond Payne,263.0
Ambriz,Hector,309.0
Amelung,Edward Allen,251.0
Ames,Leon Kessling,255.0
Ames,Steven C.,278.0
Amezaga,Alfredo,236.0
Amole,Morris F.,234.0
Amoros,Edmundo,237.0
Amor,Vicente,257.0
Ancker,Walter,263.0
Anderson,Alfred Walton,236.0
Anderson,Allan Lee,249.0
Anderson,Andy Holm,243.0
Anderson,William Edward,238.0
Anderson,Robert Carl,286.0
Anderson,Brady Kevin,243.0
Anderson,Brian James,263.0
Anderson,Brian Nikola,294.0
Anderson,Brett Franklin,305.0
Anderson,Bryan Douglas,273.0
Anderson,Karl Adam,285.0
Anderson,Robert Chase,273.0
Anderson,Cody Andrew,316.0
Anderson,Norman Craig,279.0
Anderson,David S.,
Anderson,David Carter,259.0
Anderson,Drew Thomas,269.0
Anderson,Dwain Cleaven,236.0
Anderson,Ferrell Jack,273.0
Anderson,John Frederick,254.0
Anderson,Garret Joseph,265.0
Anderson,George Jendrus,228.0
Anderson,Edward John,
Anderson,Harold,231.0
Anderson,Harry Walter,280.0
Anderson,Jason Roger,260.0
Anderson,James Lea,242.0
Anderson,James Drew,268.0
Anderson,John Joseph,254.0
Anderson,John Charles,263.0
Anderson,Joshua Aaron,269.0
Anderson,Kent McKay,253.0
Anderson,Lawrence Dennis,265.0
Andersen,Larry Eugene,275.0
Anderson,Lars Eric,291.0
Anderson,Matthew Jason,276.0
Anderson,Marlon Ordell,260.0
Anderson,Michael Allen,274.0
Anderson,Michael James,275.0
Anderson,Arnold Revola,285.0
Anderson,Richard Lee,284.0
Anderson,Richard Arlen,247.0
Anderson,Scott Richard,268.0
Anderson,George Lee,239.0
Anderson,Timothy Devon,258.0
Anderson,Tyler John,286.0
Anderson,Warner Samuel,235.0
Anderson,Walter Carl,234.0
Anderson,Wingo Charlie,220.0
Andino,Robert Lazaro,256.0
Andrade,Stephen Michael,293.0
Andrews,Clayton John,247.0
Andrews,George Edward,228.0
Andrews,Elbert DeVore,247.0
Andres,Ernest Henry,273.0
Andrews,Fred,231.0
Andrews,Hubert,242.0
Andrews,Ivy Paul,273.0
Andrews,James Pratt,
Andre,John Edward,276.0
Andrews,John Richard,245.0
Andrew,Kim Darrell,230.0
Andrews,Michael Jay,270.0
Andrews,Nathan Hardy,267.0
Andrews,Robert Patrick,257.0
Andrews,Darrell Shane,288.0
Andrews,Stanley Joseph,249.0
Andrews,William Walter,245.0
Andriese,Matthew Lee,290.0
Andrus,William Morgan,257.0
Andrus,Elvis Augusto,272.0
Andrus,Frederick Hotham,259.0
Andrus,William Wiman,221.0
Andujar,Joaquin,242.0
Andujar,Luis,249.0
Angelini,Norman Stanley,246.0
Angle,Matthew Ryan,254.0
Angley,Thomas Samuel,258.0
Ankenman,Frederick Norman,189.0
Ankiel,Richard Alexander,283.0
Anna,Dean William,251.0
Annis,William Perley,217.0
Anson,Adrian Constantine,299.0
Anthony,Eric Todd,269.0
Antolin,Dustin Kamakana Mai Ku'u Makualani,304.0
Antolick,Joseph,257.0
Antonello,William James,256.0
Antonelli,John Lawrence,235.0
Antonelli,John August,258.0
Antonelli,Matthew Antonio,268.0
Aoki,Norichika,249.0
Aparicio,Luis Ernesto,229.0
Apodaca,Robert John,241.0
Aponte,Luis Eduardo,257.0
Appier,Robert Kevin,254.0
Appleton,Edward Samuel,245.0
Applegate,Frederick Romaine,254.0
Appleton,Peter William,251.0
Appling,Lucius Benjamin,253.0
Aquino,Gregori Emilio,263.0
Aquino,Jayson Julio,298.0
Aquino,Luis Antonio,227.0
Aragon,Angel,215.0
Aragon,Angel Valdes,246.0
Araujo,Elvis Alejandro,354.0
Archdeacon,Maurice John,221.0
Archer,Christopher Alan,265.0
Archer,Frederick Marvin,265.0
Archer,James Patrick,238.0
Archer,James William,262.0
Archie,George Albert,242.0
Arcia,Jose Raimundo,245.0
Arcia,Orlando Jesus,237.0
Arcia,Oswaldo Celestino,297.0
Ardell,Daniel Miers,264.0
Ardizoia,Rinaldo Joseph,251.0
Ardner,Joseph A.,227.0
Ardoin,Daniel Wayne,277.0
Arellanes,Frank Julian,252.0
Arenado,Nolan James,279.0
Arencibia,Jonathan Paul,283.0
Arft,Henry Irven,260.0
Arias,Alejandro,260.0
Arias,Alberto A.,226.0
Arias,George Alberto,261.0
